epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,550.245,1.70243,4.12279,2.10868,0.62959,0.20764,0.28461,0.14039,1.94564,3.33278,2.41269,0.000195866,0.000195866,0.000195866
2,1102.4,1.56011,2.42807,1.99936,0.74402,0.24328,0.35281,0.17157,1.93085,2.49171,2.36547,0.000387987,0.000387987,0.000387987
3,1655.37,1.53208,2.30184,1.96701,0.72875,0.34611,0.42996,0.23601,1.80257,2.25343,2.29845,0.000576227,0.000576227,0.000576227
4,2206.09,1.4666,2.14759,1.90584,0.67521,0.42509,0.46093,0.23466,1.75755,2.05566,2.20623,0.000570536,0.000570536,0.000570536
5,2756.45,1.38599,1.96158,1.83688,0.56379,0.43606,0.46601,0.27113,1.57174,1.88771,2.09423,0.000564715,0.000564715,0.000564715
6,3307.4,1.32859,1.79715,1.78131,0.79079,0.40666,0.48684,0.25619,1.71101,1.82733,2.12044,0.000558894,0.000558894,0.000558894
7,3857.84,1.29074,1.72015,1.7394,0.65844,0.45685,0.50916,0.28577,1.61904,1.6975,2.06577,0.000553073,0.000553073,0.000553073
8,4407.38,1.25964,1.64402,1.71272,0.70144,0.47706,0.54986,0.32465,1.48024,1.64093,1.91446,0.000547252,0.000547252,0.000547252
9,4958.7,1.20853,1.57119,1.65732,0.60999,0.55527,0.61409,0.35855,1.49761,1.49736,1.90061,0.00054143,0.00054143,0.00054143
10,5518.94,1.18148,1.49712,1.64117,0.76271,0.47483,0.55613,0.33957,1.53829,1.49832,1.99119,0.000535609,0.000535609,0.000535609
11,6089.29,1.1726,1.45307,1.62882,0.78151,0.52156,0.65411,0.38321,1.4755,1.3456,1.94316,0.000529788,0.000529788,0.000529788
12,6638.03,1.13285,1.38571,1.61529,0.8147,0.52486,0.63361,0.3837,1.47781,1.38847,1.93177,0.000523967,0.000523967,0.000523967
13,7189.86,1.12642,1.35941,1.60025,0.86034,0.5251,0.65492,0.37872,1.43371,1.39702,1.89629,0.000518146,0.000518146,0.000518146
14,7742.78,1.10472,1.29407,1.57644,0.7529,0.62441,0.70421,0.44593,1.37906,1.20883,1.82831,0.000512324,0.000512324,0.000512324
15,554.178,1.08062,1.27104,1.56027,0.7426,0.61857,0.70229,0.43027,1.36442,1.25368,1.83839,0.000506503,0.000506503,0.000506503
16,1103.79,1.06753,1.23985,1.54732,0.58325,0.6372,0.65295,0.42022,1.38919,1.21939,1.86521,0.000500682,0.000500682,0.000500682
17,1653.86,1.04917,1.20361,1.52889,0.78477,0.60611,0.69426,0.42154,1.40829,1.28548,1.84757,0.000494861,0.000494861,0.000494861
18,2216.85,1.0435,1.18309,1.51982,0.68998,0.65287,0.69368,0.43423,1.3469,1.17223,1.80092,0.00048904,0.00048904,0.00048904
19,2793.05,1.01918,1.15869,1.50756,0.73126,0.62501,0.67642,0.42301,1.31066,1.1999,1.7848,0.000483218,0.000483218,0.000483218
20,519.515,1.00943,1.13292,1.49949,0.70965,0.66797,0.72345,0.47555,1.27871,1.14367,1.75642,0.000477397,0.000477397,0.000477397
21,1040.25,0.9996,1.11839,1.49378,0.75734,0.63529,0.71397,0.47605,1.29827,1.10857,1.76653,0.000471576,0.000471576,0.000471576
22,1556.81,0.98245,1.09667,1.47811,0.61475,0.71701,0.711,0.47033,1.28035,1.09217,1.72349,0.000465755,0.000465755,0.000465755
23,2073.11,0.97033,1.05251,1.46354,0.66988,0.70373,0.73,0.47452,1.31334,1.08041,1.81074,0.000459934,0.000459934,0.000459934
24,2589.52,0.9644,1.04065,1.45923,0.87431,0.6943,0.79423,0.50913,1.24942,0.94032,1.73541,0.000454112,0.000454112,0.000454112
25,3106.03,0.95324,1.03048,1.44947,0.81238,0.73036,0.78453,0.49601,1.28959,1.00327,1.727,0.000448291,0.000448291,0.000448291
26,3622.58,0.94705,1.00627,1.44423,0.70074,0.71199,0.77521,0.51025,1.26087,1.02143,1.74137,0.00044247,0.00044247,0.00044247
27,4139.06,0.93491,0.98943,1.43765,0.69739,0.69499,0.73788,0.48154,1.27793,1.01445,1.7546,0.000436649,0.000436649,0.000436649
28,4655.41,0.92782,0.96801,1.42586,0.78045,0.68262,0.74458,0.50184,1.20661,1.00387,1.69111,0.000430828,0.000430828,0.000430828
29,5172.21,0.91773,0.97104,1.41572,0.7847,0.68156,0.73813,0.48798,1.28545,0.9673,1.74351,0.000425006,0.000425006,0.000425006
30,5688.64,0.91639,0.95046,1.4146,0.76361,0.71562,0.77434,0.52706,1.20675,0.98101,1.68576,0.000419185,0.000419185,0.000419185
31,6204.85,0.91014,0.93631,1.40733,0.80284,0.75092,0.80896,0.5274,1.25054,0.97962,1.70308,0.000413364,0.000413364,0.000413364
32,6721.55,0.89022,0.92706,1.39506,0.81144,0.6968,0.77357,0.51719,1.23797,1.0062,1.72209,0.000407543,0.000407543,0.000407543
33,7237.91,0.89895,0.92692,1.39508,0.76504,0.79705,0.80469,0.5373,1.18927,0.94335,1.641,0.000401722,0.000401722,0.000401722
34,7754.69,0.88811,0.9099,1.39119,0.80694,0.7632,0.8268,0.5485,1.21731,0.90726,1.69853,0.0003959,0.0003959,0.0003959
35,8271.05,0.87571,0.88715,1.37871,0.86635,0.71733,0.80352,0.52673,1.25377,0.99294,1.71667,0.000390079,0.000390079,0.000390079
36,8787.47,0.86734,0.87261,1.37927,0.83481,0.69514,0.7723,0.5404,1.18429,0.91283,1.66174,0.000384258,0.000384258,0.000384258
37,9303.99,0.85554,0.85957,1.3666,0.81011,0.77975,0.84807,0.55835,1.2318,0.85578,1.70264,0.000378437,0.000378437,0.000378437
38,9820.54,0.84922,0.84614,1.36298,0.81025,0.74387,0.80251,0.54913,1.20189,0.94046,1.66418,0.000372616,0.000372616,0.000372616
39,10336.9,0.84976,0.85734,1.35412,0.8441,0.72909,0.81898,0.53828,1.2102,0.88841,1.6783,0.000366794,0.000366794,0.000366794
40,10853.4,0.85352,0.83672,1.35486,0.7922,0.77219,0.80419,0.52571,1.23362,0.90579,1.67926,0.000360973,0.000360973,0.000360973
41,11369.5,0.84103,0.82502,1.35084,0.8899,0.71707,0.84369,0.55963,1.19757,0.8572,1.6654,0.000355152,0.000355152,0.000355152
42,11886,0.82343,0.80818,1.33056,0.88471,0.73723,0.82735,0.56034,1.20118,0.88526,1.67677,0.000349331,0.000349331,0.000349331
43,12402.7,0.8368,0.80985,1.34176,0.85761,0.74834,0.83889,0.56407,1.21452,0.80555,1.66527,0.00034351,0.00034351,0.00034351
44,12919.4,0.82687,0.8008,1.33228,0.83823,0.763,0.82515,0.5642,1.15352,0.85678,1.61468,0.000337688,0.000337688,0.000337688
45,13435.8,0.81492,0.7838,1.33092,0.81396,0.76746,0.83793,0.57996,1.1608,0.83839,1.6268,0.000331867,0.000331867,0.000331867
46,13952.4,0.80939,0.76807,1.32466,0.78217,0.7819,0.81791,0.55891,1.17249,0.87773,1.65262,0.000326046,0.000326046,0.000326046
47,14468.7,0.80834,0.75984,1.31425,0.87399,0.71582,0.81336,0.5431,1.18431,0.86737,1.66439,0.000320225,0.000320225,0.000320225
48,14985.1,0.80811,0.75916,1.3178,0.88183,0.77193,0.86101,0.58867,1.16472,0.79958,1.65278,0.000314404,0.000314404,0.000314404
49,15501.4,0.79224,0.74887,1.30699,0.86034,0.74165,0.8352,0.57379,1.17159,0.7957,1.63405,0.000308582,0.000308582,0.000308582
50,16017.9,0.79727,0.74652,1.30333,0.83225,0.82689,0.86171,0.59887,1.14615,0.79676,1.60415,0.000302761,0.000302761,0.000302761
51,16534.4,0.7878,0.73836,1.30501,0.87532,0.78961,0.86063,0.59294,1.15213,0.79415,1.62984,0.00029694,0.00029694,0.00029694
52,17051,0.78234,0.73567,1.30713,0.80728,0.78622,0.82738,0.56587,1.17187,0.81209,1.61897,0.000291119,0.000291119,0.000291119
53,17567.5,0.77538,0.71825,1.29579,0.85897,0.75961,0.82013,0.57186,1.13156,0.79208,1.58391,0.000285298,0.000285298,0.000285298
